NewName,Author,Family,Order,Class,Phylum,Taxonomy,OrigName,LifeForm,Region,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source,Harvest Point,Region2
Gomphocarpus fruticosus,(L.) W.T.Aiton,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,TPL,Asclepias fruticosa,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Hibiscus tilliaceus,L.,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Hibiscus tilliaceus,Vascular plants,Kermadec Islands,established,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Holcus lanatus,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Holcus lanatus,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Hordeum murinum,(Link) Arcang.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Hordeum leporinum,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Hypochoeris argentina,Cabrera,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Hypochoeris radicata,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Ipomoea alba,L.,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Ipomoea alba,Vascular plants,Kermadec Islands,casual,1915,1915,,Sykes W. R. et al. (2000),,Pacific Islands
Ipomoea batatas,(L.) Lam.,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Ipomoea batatas,Vascular plants,Kermadec Islands,casual,1956,1956,,Sykes W. R. et al. (2000),,Pacific Islands
Juncus bufonius,L.,Juncaceae,Poales,Liliopsida,Tracheophyta,TPL,Juncus bufonius,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Kyllinga brevifolia,Rottb.,Cyperaceae,Poales,Liliopsida,Tracheophyta,TPL,Cyperus brevifolius,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Lamium purpureum,L.,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Lamium purpureum,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Lapsana communis,L.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Lapsana  communis,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Leontodon taraxacoides,Hoppe & Hornsch.,Compositae,Asterales,Magnoliopsida,Tracheophyta,TPL,Leontodon taraxacoides,Vascular plants,Kermadec Islands,established,1964,1964,,Sykes W. R. et al. (2000),,Pacific Islands
Lepidium didymum,L.,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Coronopus didymus,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Lepidium ruderale,L.,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Lepidium ruderale,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Linum trigynum,L.,Linaceae,Malpighiales,Magnoliopsida,Tracheophyta,TPL,Linum trigynum,Vascular plants,Kermadec Islands,established,1912,1912,,Sykes W. R. et al. (2000),,Pacific Islands
Lobularia maritima,(L.) Desv.,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,TPL,Lobularia maritima,Vascular plants,Kermadec Islands,established,1887,1887,,Sykes W. R. et al. (2000),,Pacific Islands
Lolium perenne,L.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Lolium perenne,Vascular plants,Kermadec Islands,casual,1887,1887,,Sykes W. R. et al. (2000),,Pacific Islands
Lotus pedunculatus,Cav.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Lotus pedunculatus,Vascular plants,Kermadec Islands,established,1967,1967,,Sykes W. R. et al. (2000),,Pacific Islands
Lotus subbiflorus,Lag.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Lotus subbiflorus,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
